code,description
01.47.2,Производство яиц сельскохозяйственной птицы.
01.47.3,Деятельность инкубаторов для птицеводства.
01.49,Разведение прочих животных.
01.49.1,Пчеловодство.
01.49.11,Пчеловодство медового направления.
01.49.12,Пчеловодство опылительного направления.
01.49.13,Пчеловодство разведенческого направления.
01.49.2,Разведение кроликов и прочих пушных зверей на фермах.
01.49.21,"Разведение кроликов, производство тонкого волоса кроликов на фермах."
01.49.22,Разведение прочих пушных зверей на фермах.
01.49.3,Разведение шелкопряда                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
01.49.31,Производство грен шелкопряда                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01.49.32,Производство коконов шелкопряда                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
01.49.4,Разведение оленей.
01.49.41,Разведение домашних северных оленей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
01.49.42,"Разведение пятнистых оленей, ланей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
01.49.43,"Разведение благородных оленей (европейских, кавказских, маралов, изюбрей)."
01.49.44,"Производство пантов северных оленей, пятнистых оленей, благородных оленей (европейских, кавказских, маралов, изюбрей), ланей."
01.49.5,Разведение домашних животных.
01.49.6,Разведение лабораторных животных                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
01.49.7,Разведение дождевых червей.
01.49.9,"Разведение прочих животных, не включенных в другие группировки."
01.5,Смешанное сельское хозяйство.
01.50,Смешанное сельское хозяйство.
01.6,Деятельность вспомогательная в области производства сельскохозяйственных культур и послеуборочной обработки сельхозпродукции.
01.61,Предоставление услуг в области растениеводства
01.62,Предоставление услуг в области животноводства.
01.63,Деятельность сельскохозяйственная после сбора урожая.
01.64,Обработка семян для посадки.
01.7,"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях."
01.70,"Охота, отлов и отстрел диких животных, включая предоставление услуг в этих областях"
02,Лесоводство и лесозаготовки                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
02.1,Лесоводство и прочая лесохозяйственная деятельность.
02.10,Лесоводство и прочая лесохозяйственная деятельность.
02.10.1,Деятельность лесопитомников.
02.10.11,"Выращивание посадочного материала лесных растений (саженцев, сеянцев)."
02.10.19,Выращивание прочей продукции лесопитомниками.
02.10.2,Деятельность лесохозяйственная прочая
02.2,Лесозаготовки                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
02.20,Лесозаготовки
02.3,"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений                                                                                                                                                                                                                                                                                                                                                                                                                      "
02.30,"Сбор и заготовка пищевых лесных ресурсов, недревесных лесных ресурсов и лекарственных растений."
02.30.1,Сбор и заготовка пищевых лесных ресурсов.
02.30.11,Сбор и заготовка дикорастущих грибов.
02.30.12,"Сбор и заготовка дикорастущих плодов, ягод."
02.30.13,Сбор и заготовка дикорастущих орехов.
02.30.14,Сбор лекарственных растений.
02.30.2,Сбор и заготовка недревесных лесных ресурсов.
02.4,Предоставление услуг в области лесоводства и лесозаготовок                                                                                                                                                                                                                                                                                                                                                                                                                                                          
02.40,Предоставление услуг в области лесоводства и лесозаготовок.
02.40.1,Предоставление услуг в области лесоводства.
02.40.2,Предоставление услуг в области лесозаготовок.
03,Рыболовство и рыбоводство                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
03.1,Рыболовство.
03.11,Рыболовство морское.
03.11.1,Рыболовство морское промышленное.
03.11.2,Рыболовство морское прибрежное.
03.11.3,Рыболовство в научно-исследовательских и контрольных целях                                                                                                                                                                                                                                                                                                                                                                                                                                                          
03.11.4,Рыболовство в учебных и культурно-просветительских целях.
03.11.5,Рыболовство морское в целях аквакультуры (рыбоводства)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
03.12,Рыболовство пресноводное.
03.12.1,Рыболовство пресноводное промышленное.
03.12.2,Рыболовство пресноводное в целях аквакультуры (рыбоводства).
03.12.3,Рыболовство любительское и спортивное.
03.12.4,"Рыболовство в целях обеспечения ведения традиционного образа жизни и осуществления традиционной хозяйственной деятельности коренных малочисленных народов Севера, Сибири и Дальнего Востока Российской Федерации."
03.2,Рыбоводство.
03.21,Рыбоводство морское.
03.21.1,Рыбоводство морское индустриальное.
03.21.2,Рыбоводство морское пастбищное.
03.21.3,Мелиорация рыбохозяйственная морских и минерализированных водных объектов                                                                                                                                                                                                                                                                                                                                                                                                                                           
03.21.4,Воспроизводство морских биоресурсов искусственное.
03.21.5,Акклиматизация морских биоресурсов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
03.21.9,Деятельность по морскому рыбоводству прочая                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
03.22,Рыбоводство пресноводное
03.22.1,Рыбоводство пресноводное индустриальное.
03.22.2,Рыбоводство пресноводное пастбищное.
03.22.3,Рыбоводство прудовое.
03.22.4,Мелиорация рыбохозяйственная пресноводных объектов.
03.22.5,Воспроизводство пресноводных биоресурсов искусственное.
03.22.6,Акклиматизация пресноводных биоресурсов                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
03.22.7,Деятельность по племенному разведению рыб.
03.22.9,Деятельность по пресноводному рыбоводству прочая.
05,Добыча угля                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
05.1,Добыча и обогащение угля и антрацита.
05.10,Добыча и обогащение угля и антрацита.
05.10.1,Добыча угля и антрацита.
05.10.11,Добыча антрацита открытым способом.
05.10.12,Добыча коксующегося угля открытым способом                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
05.10.13,"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, открытым способом."
05.10.14,Добыча антрацита подземным способом                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
05.10.15,Добыча коксующегося угля подземным способом                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
05.10.16,"Добыча угля, за исключением антрацита, угля коксующегося и угля бурого, подземным способом                                                                                                                                                                                                                                                                                                                                                                                                                          "
05.10.2,Обогащение угля.
05.10.21,Обогащение антрацита                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
05.10.22,Обогащение коксующегося угля                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
05.10.23,"Обогащение угля, кроме антрацита, угля коксующегося и угля бурого."
05.2,Добыча и обогащение бурого угля (лигнита)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
05.20,Добыча и обогащение бурого угля (лигнита).
05.20.1,Добыча бурого угля (лигнита)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
05.20.11,Добыча бурого угля (лигнита) открытым способом.
05.20.12,Добыча бурого угля (лигнита) подземным способом                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
05.20.2,Обогащение бурого угля (лигнита).
06,Добыча сырой нефти и природного газа                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
06.1,Добыча нефти и нефтяного (попутного) газа.
06.10,Добыча нефти и нефтяного (попутного) газа.
06.10.1,Добыча нефти.
06.10.2,"Добыча горючих (битуминозных) сланцев, песка и озокерита                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
06.10.3,Добыча нефтяного (попутного) газа                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
06.2,Добыча природного газа и газового конденсата                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
06.20,Добыча природного газа и газового конденсата
06.20.1,Добыча природного газа                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
06.20.2,Добыча газового конденсата                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
07,Добыча металлических руд                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
07.1,Добыча и обогащение железных руд.
07.10,Добыча и обогащение железных руд.
07.10.1,Добыча железных руд подземным способом.
07.10.2,Добыча железных руд открытым способом.
07.10.3,Обогащение и агломерация железных руд                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
07.2,Добыча руд цветных металлов.
07.21,Добыча урановой и ториевой руд                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
07.21.1,Добыча и первичное обогащение урановых руд                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
07.21.11,"Добыча урановых руд подземным способом, включая способы подземного и кучного выщелачивания                                                                                                                                                                                                                                                                                                                                                                                                                          "
07.21.12,"Добыча урановых руд открытым способом, включая способ кучного выщелачивания                                                                                                                                                                                                                                                                                                                                                                                                                                         "
07.21.2,Добыча и первичное обогащение ториевых руд                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
07.29,Добыча руд прочих цветных металлов.
07.29.1,Добыча и обогащение медной руды.
07.29.2,Добыча и обогащение никелевой и кобальтовой руд                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
07.29.21,Добыча и обогащение никелевой руды                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
07.29.22,Добыча и обогащение кобальтовой руды                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
07.29.3,Добыча и обогащение алюминийсодержащего сырья (бокситов и нефелин-апатитовых руд)                                                                                                                                                                                                                                                                                                                                                                                                                                   
07.29.31,Добыча алюминийсодержащего сырья подземным способом                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
